Fecha;Cliente;Concepto;Importe
2024-05-30;Acme Distribuciones S.L.;Servicio de mantenimiento;250.50
2024-05-31;Beta Consultores S.A.;Servicio de mantenimiento;287.51
2024-06-01;Gamma Logistica;Servicio de mantenimiento;324.52
2024-06-02;Delta Servicios Tecnicos;Servicio de mantenimiento;361.53
2024-06-03;Epsilon Hosteleria;Servicio de mantenimiento;398.54
2024-06-04;Acme Distribuciones S.L.;Servicio de mantenimiento;435.55
2024-06-05;Beta Consultores S.A.;Servicio de mantenimiento;472.56
2024-06-06;Gamma Logistica;Servicio de mantenimiento;509.57
2024-06-07;Delta Servicios Tecnicos;Servicio de mantenimiento;546.58
2024-06-08;Epsilon Hosteleria;Servicio de mantenimiento;583.59
2024-06-09;Acme Distribuciones S.L.;Servicio de mantenimiento;620.60
2024-06-10;Beta Consultores S.A.;Servicio de mantenimiento;657.61
2024-06-11;Gamma Logistica;Servicio de mantenimiento;694.62
2024-06-12;Delta Servicios Tecnicos;Servicio de mantenimiento;731.63
2024-06-13;Epsilon Hosteleria;Servicio de mantenimiento;768.64
2024-06-14;Acme Distribuciones S.L.;Servicio de mantenimiento;805.65
2024-06-15;Beta Consultores S.A.;Servicio de mantenimiento;842.66
2024-06-16;Gamma Logistica;Servicio de mantenimiento;879.67
2024-06-17;Delta Servicios Tecnicos;Servicio de mantenimiento;916.68
2024-06-18;Epsilon Hosteleria;Servicio de mantenimiento;953.69
2024-06-19;Acme Distribuciones S.L.;Servicio de mantenimiento;990.70
2024-06-20;Beta Consultores S.A.;Servicio de mantenimiento;127.71
2024-06-21;Gamma Logistica;Servicio de mantenimiento;164.72
2024-06-22;Delta Servicios Tecnicos;Servicio de mantenimiento;201.73
2024-06-23;Epsilon Hosteleria;Servicio de mantenimiento;238.74
2024-06-24;Acme Distribuciones S.L.;Servicio de mantenimiento;275.75
2024-06-25;Beta Consultores S.A.;Servicio de mantenimiento;312.76
2024-06-26;Gamma Logistica;Servicio de mantenimiento;349.77
2024-06-27;Delta Servicios Tecnicos;Servicio de mantenimiento;386.78
2024-06-28;Epsilon Hosteleria;Servicio de mantenimiento;423.79
2024-06-29;Acme Distribuciones S.L.;Servicio de mantenimiento;460.80
2024-06-30;Beta Consultores S.A.;Servicio de mantenimiento;497.81
2024-07-01;Gamma Logistica;Servicio de mantenimiento;534.82
2024-07-02;Delta Servicios Tecnicos;Servicio de mantenimiento;571.83
2024-07-03;Epsilon Hosteleria;Servicio de mantenimiento;608.84
2024-07-04;Acme Distribuciones S.L.;Servicio de mantenimiento;645.85
2024-07-05;Beta Consultores S.A.;Servicio de mantenimiento;682.86
2024-07-06;Gamma Logistica;Servicio de mantenimiento;719.87
2024-07-07;Delta Servicios Tecnicos;Servicio de mantenimiento;756.88
2024-07-08;Epsilon Hosteleria;Servicio de mantenimiento;793.89
2024-07-09;Acme Distribuciones S.L.;Servicio de mantenimiento;830.90
2024-07-10;Beta Consultores S.A.;Servicio de mantenimiento;867.91
2024-07-11;Gamma Logistica;Servicio de mantenimiento;904.92
2024-07-12;Delta Servicios Tecnicos;Servicio de mantenimiento;941.93
2024-07-13;Epsilon Hosteleria;Servicio de mantenimiento;978.94
2024-07-14;Acme Distribuciones S.L.;Servicio de mantenimiento;115.95
2024-07-15;Beta Consultores S.A.;Servicio de mantenimiento;152.96
2024-07-16;Gamma Logistica;Servicio de mantenimiento;189.97
2024-07-17;Delta Servicios Tecnicos;Servicio de mantenimiento;226.98
2024-07-18;Epsilon Hosteleria;Servicio de mantenimiento;263.99
2024-07-19;Muñoz Hermanos;Consultoria;450.00
2024-07-20;García y Cía.;Consultoria;450.00
2024-07-21;Peña Logística;Consultoria;450.00
2024-07-22;Fernández Asociados;Consultoria;450.00
2024-07-23;Ibáñez Construcciones;Consultoria;450.00
